req_id,input_length,decode_length,arrival_time,to_server_time,finish_time,server_latency,total_latency,ttft,queue_time,success,error
req_75,629,119,0.02807021141052246,0.02807164192199707,2.5434930324554443,2.5154213905334473,2.515422821044922,0.6212136745452881,1.430511474609375e-06,True,
req_64,400,118,0.024840354919433594,0.024842262268066406,2.5576553344726562,2.53281307220459,2.5328149795532227,0.5084371566772461,1.9073486328125e-06,True,
req_58,279,125,0.023064136505126953,0.023065805435180664,2.677475690841675,2.654409885406494,2.654411554336548,0.6257529258728027,1.6689300537109375e-06,True,
req_85,422,124,0.030843019485473633,0.030844688415527344,2.6909120082855225,2.660067319869995,2.660068988800049,0.6122579574584961,1.6689300537109375e-06,True,
req_25,658,125,0.01086568832397461,0.010868072509765625,2.703148126602173,2.6922800540924072,2.6922824382781982,0.5241329669952393,2.384185791015625e-06,True,
req_9,619,127,0.004774570465087891,0.004777193069458008,2.7262766361236572,2.721499443054199,2.7215020656585693,0.31372737884521484,2.6226043701171875e-06,True,
req_93,543,130,0.03293442726135254,0.03293561935424805,2.7942416667938232,2.761306047439575,2.7613072395324707,0.6102941036224365,1.1920928955078125e-06,True,
req_51,653,132,0.020974159240722656,0.02097606658935547,2.8262195587158203,2.805243492126465,2.8052453994750977,0.513775110244751,1.9073486328125e-06,True,
req_1,743,133,0.0010173320770263672,0.0010209083557128906,2.8314547538757324,2.8304338455200195,2.830437421798706,0.46035194396972656,3.5762786865234375e-06,True,
req_40,318,133,0.017503738403320312,0.017506122589111328,2.8510966300964355,2.833590507507324,2.8335928916931152,0.6260583400726318,2.384185791015625e-06,True,
req_17,525,137,0.007929325103759766,0.007931709289550781,2.9386146068573,2.930682897567749,2.93068528175354,0.5257949829101562,2.384185791015625e-06,True,
req_100,272,71,0.03472566604614258,0.03472709655761719,2.965924024581909,2.931196928024292,2.9311983585357666,1.5247657299041748,1.430511474609375e-06,True,
